token,count
""" {up}{left}{left} {right}{right}  {down}{down} {up}{left}{left} {right}{right}  {down}{down} {up}{left}{left} {right}{right} {up}{up}{right}{right}{right} {left}{left} {right}{down}{down} {up}{up} {down}{down}{right}{right}""",1
2870,1
"""{clr}{down}{down}kein schiff in sicht.""",1
"""{down}wieviele leute sollen{down} anschlag versuchen ?""",1
"""schiffe""",1
"""{clr}{down}es sind""",1
"""{down}in der naehe.""",1
"""{clr}{down}{down}poke44,24:poke6144,0:new""",1
"""maenner""",1
"""nach.""",1
"""auf dem rueckweg""",1
"""felt ihren leuten""",1
"""{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}  wird  {right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}:""",1
4505,1
"""{down}10 mann muessen an """,1
"""finden sie den augang bevor ihnen der sauer-stoff ausgeht.""",1
""" zeichen zu lang!""",1
"""{clr}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",1
9990,1
"""{clr}{down}{down}{down}{down}{down}{right}{right}geben sie 'W'""",1
"""{down}{right}{right}oder 'Q' ein""",1
"""{right}dreucken erneut ' '""",1
"""{down}{down}{right}waehle eine der""",1
"""{right}3 moeglichkeiten""",1
"""{down}{right}1 : loesung""",1
"""{right}3 : eigene einoabe""",1
"""{right}2 : volles feld""",1
"""{right}zielposition und""",1
"""momentaner schwierig- keitsgrad       :""",1
"""aenderungen (j/n)? """,1
"""{down}weitere""",1
"""s """,1
"   ""M""",1
"""{rvs_on}{SHIFT--}{rvs_off}""",1
"""{clr}                     """,1
"""{home}                     """,1
585,1
"""{clr}ergebnis :""",1
"""{down}{down}{down}neues spiel: leertaste""",1
"""sie finden eine karte""",1
"""schiffe wurden""",1
2840,1
"""{down}bord bleiben.""",1
"""{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}        {right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}      """,1
"""zum schiessen muessen""",1
"""druecke leertaste""",1
"""abzuschiessen.""",1
""" {rvs_on} {rvs_off} {rvs_on} {rvs_off} {CBM-*}{rvs_on} {rvs_off}{SHIFT-POUND} {rvs_on}  {rvs_off}{SHIFT-POUND} {CBM-*}{rvs_on} {rvs_off}{SHIFT-POUND}  {rvs_on} """,1
"""{down}{down}{down}by lutzian widuch 1982""",1
"""{clr}sie muessen versuchen""",1
"""{right} {left}{left}  {left}{left} {right}{right}{down}{down} {up}{up} {up} {down}{down} {left}{down} {up}{up} {left} {right}{right} {down} {up}{up} @""",1
""" {left}{left} {up}{up}{left} {right}{right} {right} {left}{left} {up} {down}{down} {down} {up}{up} {down}{right}{right} {left}{left} {up} {down}{down} {left} {right}{right} {left}{down}{down} {up}{up} """,1
"""{down}{right}{right}steine lebrig.""",1
"""{down}{right}{right}es ist noch ein""",1
"""{down}{right}{right}stein jebrig !""",1
"""{down}{down}{down}{down}{down}{right}{right}{right}{right}press any key""",1
"""{clr}{down}{down}{right}{right}sie haben """,1
"""{down}{right}{right}steine gesclagen.""",1
"""{down}punktdurchs.    :""",1
"""{down}{down}neuer schwierigkeits- grad (1-9)? """,1
"""abc{CBM-U}{CBM-U}{CBM-U}{CBM-U}H  HO  O    de""",1
"""{rvs_on}aenderung der""",1
"""{rvs_on}spiel nummer""",1
"""{rvs_on}{CBM-Z}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-E}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-E}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-E}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-X}{rvs_off}""",1
"""{rvs_on}{CBM-Q}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-+}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-+}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-+}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-W}""",1
"""{rvs_on}{SHIFT--}player{SHIFT--}dif{SHIFT--}pun.{SHIFT--}dur.{SHIFT--}""",1
"""{clr}{rvs_on}{blue}{CBM-A}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-R}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-S}""",1
1040,1
7933,1
"""{rvs_on}   schwierigkeit =""",1
"""{rvs_on} {right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right} """,1
"""{down}  {rvs_on}schuirigkeit(j/n){rvs_off} """,1
"""da ist ein hammer""",1
"""da ist ein pflock""",1
"""da ist ein schluessel""",1
"""{down}{down}alles klar?""",1
9030,1
"""X""",1
"""=""",1
"""mit moeglichst wenig""",1
"""schuessen den roboter""",1
""" {rvs_on} {rvs_off} {rvs_on}{CBM-*}{rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on}{CBM-*}{rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off}  {rvs_on} """,1
"""da ist eine luke""",1
"""da ist ein hebel""",1
"""da ist nichts von""",1
"""interesse""",1
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}tuer ist zugeschlos-""",1
"""ist geoeffnet""",1
"""   HqH H  H O O O  O """,1
"""       H  SGP O      """,1
"""   hiH H  H O O Ojk  """,1
"""   HrH H  {CBM-H} O O O  l """,1
"""{rvs_on}*{rvs_off}""",1
ps$,1
"""{down}letzte punktzahl:""",1
"""{down}{down}{green}   systax software""",1
"""        J{red}soft{blue}""",1
"""    {cyan}    JI""",1
"""{down}{cyan}        UI""",1
"""{down}       a.schnitz""",1
"""{down}       m.quinke""",1
"""{rvs_on}{red}skipping ball{blue}""",1
"""{clr}{down}{down}{down}{down}{down}""",1
"""{down}{down}     (c)1983 by:""",1
"""{clr}{down} {rvs_on}  {CBM-*}{rvs_off} {rvs_on}{SHIFT-POUND} {CBM-*}{rvs_off} {rvs_on}  {CBM-*}{rvs_off} {rvs_on}{SHIFT-POUND} {CBM-*}{rvs_off} {rvs_on}   """,1
""" {rvs_on}  {rvs_off}{SHIFT-POUND} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on}  {rvs_off}{SHIFT-POUND} {rvs_on} {rvs_off} {rvs_on} {rvs_off}  {rvs_on} """,1
"""sie die leertaste""",1
"""druecken.""",1
"""{clr}punktzahl:""",1
"""l = load daten""",1
456,1
"""{home}{rvs_on} spieler""",1
"""{rvs_on}    druecke return    """,1
"""{down}spieleranzahl (1-9)? """,1
"""{down}{rvs_on}{black}Q{red}Q{cyan}Q{purple}Q{green}Q{blue}Q{yellow}Q{black}Q{red}Q{cyan}Q{purple}Q{green}Q{blue}Q{yellow}Q{black}Q{red}Q{cyan}Q{purple}Q{green}Q{blue}Q{yellow}Q{black}Q{blue}""",1
"""skippen mit {rvs_on}n{rvs_off} und {rvs_on}m{rvs_off}""",1
"""{down}{down}treffe den punkt [W]""",1
"""{clr}     {rvs_on}{red}skipping ball{blue}""",1
"""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",1
"""{SHIFT-@}   L""",1
"""{SHIFT-@}    L""",1
"""{SHIFT-@}  L""",1
"""{rvs_on}{SHIFT--}""",1
"""{clr}{down}{down}{down}spielernummer? """,1
"""f""",1
2005,1
"""s = save daten""",1
29000,1
"""{clr}{white} zerstoere moeglichst {down}   viele angreifer !""",1
"""{down}            a""",1
"""{down} oder     , + .""",1
"""{down}            z""",1
"""{down}spiele mit d. joystick""",1
"""{right}{right}{right}{right}{cyan}* star wars *""",1
"""{clr}{down}{down}{down}{green}du wurdest von deinem {down}  gegner gerammt und  {down}     zerstoert !""",1
"""{down}{down}{down}{down}deine punktezahl :{down}{down}{left}{left}{left}""",1
"""punkte""",1
"""{down} wenn dir dein gegner {down}zu nahe kommt,wirst du{down}gerammt und zerstoert!""",1
 variablen,1
"""{right}{right}""",1
"""{home}{white}{down}{down}{down}{right}{right}{right}score:""",1
 zerstoert!,1
""" druecke eine taste!""",1
"""{down}{right}{right}{right}{right}{right}{purple}(c) 1983 by""",1
"""{down}{right}{right}{right}{right}{red}thomas elmer""",1
"""{left}. """,1
"""{clr}{down}wer spielt ?""",1
"""{rvs_on}                       """,1
"""schwierigkeitsgrad    spieler""",1
"""(1-9)? """,1
"""name von spieler""",1
"""  {left}{left}{left}{left}{SHIFT--}""",1
"""{rvs_on}druecke return""",1
4075,1
"""{down}{cyan}{CBM-E}""",1
8015,1
"""{rvs_on}hammer  =+100  bonus  schirm  =+300  bonus""",1
"""{rvs_on}schl{rvs_off},{rvs_on}ssel= bedingung""",1
"""{rvs_on}scheitern=bonus-300""",1
"""{down}{down}{right}{right}{right}{right}{right}{rvs_on}blue munster""",1
"""{down}{down}{down}{down}noch ein spiel (j/n)?""",1
6140,1
6132,1
"""{down}{down}is zum naechsten mal!""",1
30140,1
 musik-data,1
"""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",1
"""{left}{left}{left}{left}{up}{up}{CBM-V}{left}{left}{up}{up}{up}{up}{CBM-V}{left}{left}{left}{left}{left}{left}{down}{CBM-B}{left}{left}{left}{left}{CBM-V}{left}{up}{up}{CBM-V}{left}{left}{left}{left}{down}{CBM-V}""",1
"""{yellow}{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{down}{down}{down}{down}{down}{CBM-B}{left}{left}{left}{down}{down}{down}{CBM-V}{down}{right}{right}{right}{right}{CBM-B}{right}{right}{up}{up}{CBM-V}{down}{down}{down}{right}{right}{right}{CBM-B}{CBM-V}{right}{right}{right}{up}{up}{up}{CBM-V}{left}{left}{left}{left}{left}{up}{up}{CBM-V}{right}{right}{right}{right}{right}{CBM-B}{left}{up}{up}{up}{up}{up}{CBM-B}""",1
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-C}{down}{left}{CBM-C}{down}{left}{left}{left}{CBM-F}{CBM-F}{right}{CBM-F}{CBM-F}{left}{left}{left}{down}{CBM-C}{down}{left}{CBM-C}""",1
"""{down}    space... feuer""",1
"""{home}{black}{down}{down}{down}{right}{right}{right}score:""",1
167,1
 treffer,1
"""{white}{home}""",1
***joystick,1
"""{cyan}{down}{CBM-E}""",1
"""{SHIFT--}QJ{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-D}  {CBM-F}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}KQ{SHIFT--}""",1
"""{SHIFT--}Q{SHIFT--}QU{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-D}  {CBM-F}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}IQ{SHIFT--}Q{SHIFT--}""",1
"""{SHIFT--}QU{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-D}  {CBM-F}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}IQ{SHIFT--}""",1
"""{SHIFT--}Q{SHIFT--}Q{SHIFT--}QU{SHIFT-*}{SHIFT-*}{CBM-D}  {CBM-F}{SHIFT-*}{SHIFT-*}IQ{SHIFT--}Q{SHIFT--}Q{SHIFT--}""",1
"""U{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}I""",1
"""in""",1
6900,1
"""{home}{red}es ist""",1
"""{down}{rvs_on}sie m{rvs_off},{rvs_on}ssen mit charly 5 mal zu maria laufen.""",1
"""{rvs_on}aber vorsicht vor den herabrollenden sternen""",1
"""{rvs_on} jeder {rvs_off},{rvs_on}bersprungene   stern   = +20  bonus  """,1
"""L""",1
"""S""",1
5632,1
"""{home}{down}{down}{right}{right}""",1
"""{home}{down}{down}{right}""",1
"""r{up}{left}r{up}{left}r{up}{left}r""",1
"""{down}{blue}{rvs_on}bonus""",1
"""{down}{down}{down}rssssssssssss{up}{up}{up}{blue}v{black}{down}{down}{down}{left}ssssst{down}{left}u{down}{left}u{down}{left}u{down}{left}u{right}{right}{right}sssssssssssssssssssss""",1
"""{rvs_on} besuch  =versuch*200""",1
"""{down}{rvs_on}  joystik einstecken""",1
"""{up}{up}{up}{up}""",1
"""blue-munster2""",1
"""{down}{rvs_on}         taste""",1
"""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{rvs_on}einen moment bitte""",1
"""{down}{down}{rvs_on}{right}{right}ich lade das spiel""",1
***sonderzeichen,1
"""{SHIFT--}Q{SHIFT--}Q{SHIFT--}QJ{SHIFT-*}{SHIFT-*}{CBM-D}  {CBM-F}{SHIFT-*}{SHIFT-*}KQ{SHIFT--}Q{SHIFT--}Q{SHIFT--}""",1
"""{SHIFT--}Q{CBM-C}Q{CBM-C}Q{CBM-C}QJ{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}KQ{CBM-C}Q{CBM-C}Q{CBM-C}Q{SHIFT--}""",1
"""{SHIFT--}       {SHIFT--}{green}{CBM-E} 2 {blue}{SHIFT--}       {SHIFT--}""",1
"""{SHIFT--}       {SHIFT--}    {SHIFT--}       {SHIFT--}""",1
"""{rvs_on}blue munster""",1
"""{clr}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",1
"""{blue}{rvs_on}  {rvs_off}@ab{rvs_on}  {rvs_off}{down}{left}{left}{left}{left}{left}{left}{left}{rvs_on} {rvs_off}cdefg{rvs_on} {rvs_off}{down}{left}{left}{left}{left}{left}{left}{left}{rvs_on} {rvs_off}hijkl{rvs_on} {rvs_off}{down}{left}{left}{left}{left}{left}{left}{left}{rvs_on} {rvs_off}mnopq{rvs_on} {rvs_off}{black}""",1
**einleitung,1
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{cyan}&'{down}{left}({black}""",1
"""{home}{right}{right}{right}{right}{right}{right}{right}{right}{right}{rvs_on}{green}{CBM-+}{down}{left}{CBM-+}{down}{left}{CBM-+}{down}{left}{CBM-+}{down}{left}{CBM-+}{down}{left}{CBM-+}{black}{rvs_off}{up}{up}{up}sssst{up}{left}{left}{left}{left}{red}*{left}{up}){yellow}{down}{down}{down}+{black}{right}u{down}{left}u{down}{left}u""",1
"""{home}{down}{down}{down}{down}{down}{down}{down}{right}{purple}-./012345{black}""",1
***hauptprog,1
***links,1
12115,1
***auf,1
"""C""",1
***ab,1
21070,1
20850,1
20070,1
***bildaufbau,1
"""{down}{down}{down}{down}{down}rssssssssssssssssst{down}{left}u{down}{left}u{down}{left}u{down}{left}u{right}{right}{right}{right}{right}{right}rssst{down}{left}u{down}{left}u{down}{left}u{down}{left}u{up}{up}{up}{up}ssssssssssssrr",1
649,1
"""{left}.""",1
""" uhr """,1
21105,1
"""richtung nicht """,1
"""{rvs_on}{home}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right} """,1
"""{down}{down}minuten schlafen""",1
47005,1
"""stunden""",1
"""{SHIFT--}Q{SHIFT--}QJ{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-D}  {CBM-F}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}KQ{SHIFT--}Q{SHIFT--}""",1
13120,1
***sprung,1
12120,1
***rechts,1
***tot,1
***todesstern,1
27000,1
11115,1
11120,1
"""{rvs_on}{red}S{black}""",1
28000,1
10999,1
10105,1
10115,1
11999,1
10120,1
"""n = neues spiel""",1
"""t = tagesbestenliste""",1
"""p = persoenl. bestenl.""",1
22090,1
"""rrrr""",1
27008,1
"""{clr}{down}{down}{down}{rvs_on} ich bin sehr traurig    weil mein freier         nicht kam""",1
30400,1
30350,1
"""mal kam""",1
"""{down}{down}{down}{rvs_on} ich bin sehr traurig    weil mein freier       nur""",1
"""{down}{down} high score""",1
20090,1
22070,1
21090,1
13115,1
28005,1
9010,1
50230,1
"""{SHIFT--}Q{CBM-V}Q{CBM-V}Q{CBM-V}QU{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}IQ{CBM-V}Q{CBM-V}Q{CBM-V}Q{SHIFT--}""",1
"""{home}{red}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}T{right}H{right}E{right}{right}{right}{right}{right}{right}{right}{right}E{right}N{right}D{home}{blue}""",1
4502,1
"""{clr}{blue}{rvs_off}""",1
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}""",1
5020,1
"""{down}{down}      {green}car {purple}crash{home}""",1
"""J{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}K""",1
"""{rvs_on}   vc=20   """,1
"""{blue}   (1) := 1 spieler""",1
"""{down}   (2) := 2 spieler""",1
"""{rvs_on} car crash """,1
"""f = ende""",1
"""{down}mit dem joystick.""",1
30530,1
"""{down}{down}{down}{down}{down}{down}{rvs_on}noch ein spiel? (j/n)""",1
"""{down} score""",1
30130,1
30200,1
30500,1
"""{down}{down}{down}{rvs_on}  gratuliere,du hast   mich aus dem verlies        befreit.""",1
30300,1
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{rvs_on}game over""",1
"""{home}{black}{rvs_off}cde{rvs_on}:""",1
"""{right}{right}{right}punkte:""",1
"""kkkkkkkkkkkkkkkkkkkkkk""",1
14999,1
15400,1
***absturz,1
7805,1
7783,1
"""ffffffffffffffffffffff""",1
38520,1
38531,1
38529,1
38528,1
38510,1
7868,1
7800,1
7790,1
 hauptprogramm,1
7811,1
7810,1
7809,1
"""{down}{down}{down}{down}    {rvs_on}drucke 'p'""",1
"""{down}sie haben 5 min. zeit.""",1
""">> monsterjagd <<""",1
"""{down}{down}{down}{blue}versuchen sie die mon-ster in das zentrum zujagen.""",1
"""{down}{down}{down}die steuerung erfolgt""",1
"""{down}en wie moeglich.""",1
"""{down}viele fische zu fang-""",1
"""{down}{down}{down}versuchen sie so """,1
"""{clr}  ***** {rvs_on}fishing{rvs_off} *****""",1
 spielanleitung,1
"""{rvs_on}{down}erreicht.""",1
"""punkte  """,1
"""{blue}{home}{rvs_on}{down}{down}{down}{down}{down}{down}{down}{down}sie haben""",1
"""{home}{rvs_on}                     """,1
 unterroutine,1
"""{down}{down}{rvs_on}{right}{right}{right}druecke 'p'""",1
"""{rvs_on}{down}{right}{right}highscore:""",1
"""i{left}{down}{left}j+k{left}{left}{down}m""",1
"""{down}{down}{down}{rvs_on}{red}bravo{rvs_off}, das war gut.""",1
"""{down}{green}zeit:""",1
"""sec.""",1
"""{rvs_on} {rvs_off}""",1
"""{left}{down}{down}{down}{down}{rvs_on} {rvs_off}{up}{up}{up}{up}""",1
"""{down}{down}{down}leider nicht geschafft""",1
"""{down}{down}{blue}press a key""",1
7764,1
7745,1
7744,1
7802,1
 copyright,1
 by martin kiesswetter 1983,1
 *** fishing ***,1
38532,1
"""+.................+""",1
"""+.+++++++.+++++++.+""",1
"""+.+.+.+++.+++.+.+.+""",1
"""+.+.+.........+.+.+""",1
"""+.+.+++++.+++++.+.+""",1
2805,1
"""+++++++++++++++++++""",1
"""{clr}{right}{right}{right}{right}{red}{rvs_on}>>monsterjagd<<{down}{down}{purple}""",1
"""+.+.+.+.....+.+.+.+""",1
"""+.......+{black}{rvs_on}*{purple}{rvs_off}+.......+""",1
"""aber vorsicht, kommen sie ihnen nicht zu    nahe!""",1
2900,1
"""{down}{down}{down}{down}{blue}copyright (c) 1983 by {down}  carsten endewardt   {down}  joerg feldbinder""",1
"""{down}{down}{down}{green}anleitung (j/n)?""",1
"""{down}{green}steuerung uebe joy-  stick oder tastatur.""",1
"""     {red}press a key{up}""",1
"""moeglich""",1
"""eingangstuer ist""",1
"""zugeschlossen""",1
"""zu wenig  gekillt!!""",1
"""{clr}{down}{down}{down}{down}sie haben ihre aufgabeerfuellt und damit dieerde gerettet!!""",1
50500,1
"""{clr}{rvs_on}           {right}          """,1
8065,1
50800,1
"""****taste druecken****""",1
"""{SHIFT--} minuten vernichten!{SHIFT--}J{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}K""",1
"""{clr}{down}{right}{right}{right}{right}{right}U{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}I    """,1
18000,1
"""{home}{green}{down}{rvs_on}""",1
"""000500""",1
"""+.+.............+.+""",1
"""          AAAA    M   {black}                                           {white}""",1
"""          AA AA M               AAA    M    """,1
"""{rvs_on}{right}{right}{right}{right}{right}{right}   {right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}     """,1
"""{rvs_on}       NM                   N  M            """,1
"""+.+.+.+.+.+.+.+.+.+""",1
"""+.+.+.+.+++.+.+.+.+""",1
3030,1
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down} s i e g      s i e g """,1
"""{down}{down}{rvs_on}""",1
451,1
653,1
 (c) by,1
"""    {down}{down}{down}bitte warten""",1
 bewegung mensch,1
"""{rvs_on}{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{CBM-U}""",1
"""tuer ist zugeschlos-""",1
"""{SHIFT--}  rechts:'k'        {SHIFT--}{SHIFT--}  schuss:'d'        {SHIFT--}""",1
"""{down}{down}{down}waeren alle piloten   so unfaehig !?!""",1
"""beizutragen!""",1
"""rettung der erde      """,1
"""schafft ihren teil zur""",1
"""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{rvs_off}sie haben es nicht ge-""",1
"""U{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-W} a l e r t {CBM-Q}{SHIFT-*}{SHIFT-*}{SHIFT-*}I{SHIFT--}    J{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}K   {SHIFT--}""",1
"""{SHIFT--} ein scwarm vogoni- {SHIFT--}{SHIFT--} scher ufos greift  {SHIFT--}""",1
"""{SHIFT--} eine staffel von 4 {SHIFT--}{SHIFT--} jaegern , ein teil {SHIFT--}""",1
"""{SHIFT--} des irdischen ver- {SHIFT--}{SHIFT--} teidigungssystems. {SHIFT--}""",1
"""{SHIFT--} um die erde zu ret-{SHIFT--}{SHIFT--} ten muessen sie 1/4{SHIFT--}""",1
"""{SHIFT--} aller vogonischen  {SHIFT--}{SHIFT--} schiffe in 1:30    {SHIFT--}""",1
"""{SHIFT--} ihr heimatsystem an{SHIFT--}{SHIFT--} sie fuehren eine   {SHIFT--}""",1
"""sie haben """,1
"""{clr}{white}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",1
40390,1
1016,1
"""{clr}{white}{rvs_off}{down}{down}{down}{right}{right}{right}{right}bitte warten{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{left}{down}{down}{down}{down}maschinenprogramm{right}{right}{right}{right}{right}{right}wird{right}eingelesen""",1
873,1
"""{down}{down}Steuerung mit dem JOY-{down}STICK !""",1
"""{clr}Spielanleitung:""",1
"""{down}{down}{down}Versorgen Sie als Pin-{down}guin Ihren Sproessling{down}mit Nahrung!",1
"""{down}In diesem Spiel mues- {down}sen Sie einen Pinguin {down}ueber gefaehrliche""",1
"""   N A A  A  {CBM-P}{CBM-P}{CBM-P}{CBM-P}{CBM-P}{CBM-P}{CBM-P}{CBM-P}{CBM-P}  N A     AA M        """,1
""" N A  AAAA AA M       N A  AA     AA M      """,1
"""{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}    M           {CBM-P}{CBM-P}{CBM-P}{CBM-P}       {CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}""",1
"""{down}{down}score:""",1
"""J{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}K{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}****taste druecken****""",1
40310,1
40180,1
"""{clr}{right}{right}{right}{right}{down}{right}U{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}I    U{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-W} a l e r t {CBM-Q}{SHIFT-*}{SHIFT-*}{SHIFT-*}I""",1
"""{SHIFT--}    {CBM-Z}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{SHIFT-*}{CBM-X}   {SHIFT--}{SHIFT--}   links:'j'        {SHIFT--}""",1
"""{down}Er darf sich dabei nur{down}auf ebenem Gelaende   {down}bewegen !""",1
"""{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}{CBM-Y}""",1
"""        {CBM-P}{CBM-P}{CBM-P}{CBM-P}{CBM-P}""",1
"""{down}{down}      Feb. 1984",1
"""        {rvs_on}PINGI""",1
"""{down}{down}(C) by Stefan Reusch",1
"""{CBM-+}EEEEEEEEEEEEE{CBM-+}",1
"""{CBM-+}             {CBM-+}",1
"""{CBM-+}    pingi    {CBM-+}",1
"""{CBM-+}    EEEEE    {CBM-+}",1
"""{CBM-+} bordesholm  {CBM-+}",1
